,question,imageId,GithubLink
0,Is the blanket to the right of a pillow?,n15740,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n15740.jpg
1,Is the lamp post behind the people the train is to the right of?,n278826,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n278826.jpg
2,Is the dirty ground made of plastic?,n476594,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n476594.jpg
3,Is the rose red?,n283781,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n283781.jpg
4,Are there any players in the scene?,n357179,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n357179.jpg
5,Are there any players or fences?,n357179,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n357179.jpg
6,Is there any helmet that is white?,n357179,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n357179.jpg
7,Is there any helmet that is not blue?,n357179,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n357179.jpg
8,Is the white curtain to the right of the black television?,n423979,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n423979.jpg
9,Are there lamps to the right of the device that looks black?,n423979,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n423979.jpg
10,Are there any curtains to the left of the device the video game is displayed on?,n536689,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n536689.jpg
11,Is the helmet to the left of the other helmet white and hard?,n357179,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n357179.jpg
12,Are there curtains to the left of the television?,n423979,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n423979.jpg
13,Are there curtains to the right of the black device?,n423979,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n423979.jpg
14,Are there lamps to the right of the television that is sitting on top of the TV stand?,n423979,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n423979.jpg
15,Are there any curtains to the left of the device that looks black?,n423979,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n423979.jpg
18,Are there curtains to the right of the television?,n423979,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n423979.jpg
20,Are the green trees behind the fence leafy and tall?,n466336,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n466336.jpg
21,Are the trees behind the fence leafy and tall?,n466336,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n466336.jpg
23,Is the bench smooth and gray?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
24,Is the comfortable bench soft and smooth?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
25,Is the bench both soft and comfortable?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
26,Is the bench soft and gray?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
27,Does the comfortable bench appear to be yellow and soft?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
28,Does the bench seem to be soft?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
29,Does that bench appear to be soft?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
30,Is the bench in front of the balcony both soft and uncomfortable?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
31,Is the bench soft?,n347432,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n347432.jpg
32,Is the clean field green and huge?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
33,Does the field look small and green?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
34,Is the field that looks huge green and clean?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
35,Is the field green and dirty?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
36,Does the field have small size?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
37,Does the field look small?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
38,Are there small fields or beaches?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
40,Is the field green?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
41,Does the field look green?,n572838,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n572838.jpg
42,Are the oranges large and orange?,n475976,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n475976.jpg
43,Does the ground below the tennis ball look dirty?,n476594,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n476594.jpg
44,Does the sauce near the bowl look brown and thin?,n272682,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n272682.jpg
45,Does the ground below the tennis ball look clean?,n476594,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n476594.jpg
46,Are there curtains to the right of the television that is not big?,n536689,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n536689.jpg
47,Was asphalt used to make the ground?,n476594,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n476594.jpg
48,Is there either any train or clock in this picture?,n214414,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n214414.jpg
50,Does the tennis ball seem to be yellow?,n521291,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n521291.jpg
51,Does the jacket have yellow color?,n248708,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n248708.jpg
53,Are these happy children?,n359246,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n359246.jpg
54,Is the curtain on the left side?,n11915,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n11915.jpg
55,Are there curtains to the right of the device the video game is displayed on?,n536689,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n536689.jpg
61,Is there a bag to the right of the person that the hat is on top of?,n187825,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n187825.jpg
62,Are there any bags to the right of the person the hat is on top of?,n187825,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n187825.jpg
63,Do you see a cow to the left of the person that is to the right of the bus?,n187825,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n187825.jpg
64,Do you see any cows to the left of the person that is to the right of the bus?,n187825,https://raw.githubusercontent.com/ST0927/Experiment/main/Images/n187825.jpg
